Week,suv,truck,scrap metal,best mpg
2/13/05,45,74,37,22
2/20/05,47,70,46,19
2/27/05,42,66,27,19
3/6/05,46,66,24,19
3/13/05,45,69,36,22
3/20/05,44,71,34,26
3/27/05,46,72,39,26
4/3/05,44,65,36,26
4/10/05,43,66,43,21
4/17/05,41,65,44,24
4/24/05,41,69,42,27
5/1/05,40,65,26,22
5/8/05,39,68,35,22
5/15/05,41,69,34,17
5/22/05,42,71,34,17
5/29/05,38,71,38,17
6/5/05,40,70,29,17
6/12/05,40,74,36,17
6/19/05,49,72,30,17
6/26/05,41,74,39,18
7/3/05,45,73,28,21
7/10/05,53,71,39,25
7/17/05,46,70,34,25
7/24/05,46,79,33,26
7/31/05,45,76,32,27
8/7/05,46,73,37,28
8/14/05,45,72,33,36
8/21/05,47,75,38,36
8/28/05,47,65,29,55
9/4/05,38,64,20,42
9/11/05,33,63,30,22
9/18/05,36,60,31,25
9/25/05,37,64,27,18
10/2/05,35,61,31,33
10/9/05,39,64,26,20
10/16/05,32,59,34,20
10/23/05,34,59,29,23
10/30/05,31,61,31,14
11/6/05,35,60,28,16
11/13/05,33,62,38,18
11/20/05,34,63,21,20
11/27/05,31,63,34,18
12/4/05,32,62,30,18
12/11/05,28,61,21,18
12/18/05,31,60,23,19
12/25/05,41,67,27,19
1/1/06,36,61,28,19
1/8/06,35,63,34,20
1/15/06,32,62,32,14
1/22/06,32,65,33,14
1/29/06,29,64,29,17
2/5/06,34,66,23,11
2/12/06,33,66,37,20
2/19/06,35,64,36,18
2/26/06,38,62,29,14
3/5/06,33,63,27,12
3/12/06,37,64,35,16
3/19/06,37,67,32,11
3/26/06,37,62,36,12
4/2/06,33,62,44,18
4/9/06,38,62,40,24
4/16/06,39,63,42,38
4/23/06,43,64,44,44
4/30/06,44,64,34,35
5/7/06,35,62,48,27
5/14/06,32,64,40,42
5/21/06,36,63,44,18
5/28/06,33,62,41,21
6/4/06,33,64,45,19
6/11/06,35,65,41,21
6/18/06,38,66,43,23
6/25/06,38,68,38,20
7/2/06,41,63,39,23
7/9/06,38,64,44,32
7/16/06,38,70,48,35
7/23/06,39,70,43,23
7/30/06,38,69,48,25
8/6/06,37,71,48,26
8/13/06,39,67,44,26
8/20/06,35,68,41,23
8/27/06,39,66,39,15
9/3/06,34,64,37,24
9/10/06,32,62,38,14
9/17/06,35,63,36,15
9/24/06,34,63,40,18
10/1/06,41,61,35,13
10/8/06,36,62,37,9
10/15/06,34,60,32,15
10/22/06,35,63,39,12
10/29/06,32,62,40,15
11/5/06,34,59,35,11
11/12/06,34,62,36,13
11/19/06,36,63,42,12
11/26/06,37,62,38,10
12/3/06,30,61,30,9
12/10/06,31,61,33,10
12/17/06,36,63,35,10
12/24/06,42,63,31,14
12/31/06,34,64,30,17
1/7/07,35,65,35,13
1/14/07,36,66,38,11
1/21/07,37,64,39,14
1/28/07,34,64,47,11
2/4/07,32,64,37,15
2/11/07,40,67,39,17
2/18/07,37,67,32,12
2/25/07,36,64,35,15
3/4/07,36,65,36,15
3/11/07,33,66,39,12
3/18/07,35,65,34,11
3/25/07,35,66,46,13
4/1/07,35,62,44,15
4/8/07,38,66,42,18
4/15/07,37,62,42,12
4/22/07,38,66,51,14
4/29/07,39,66,45,26
5/6/07,36,65,49,22
5/13/07,37,65,42,32
5/20/07,41,67,40,31
5/27/07,38,67,50,27
6/3/07,36,72,43,16
6/10/07,40,69,44,22
6/17/07,44,68,50,26
6/24/07,41,71,44,18
7/1/07,39,69,44,19
7/8/07,39,69,49,22
7/15/07,39,72,57,25
7/22/07,42,75,46,26
7/29/07,40,71,51,23
8/5/07,37,70,50,15
8/12/07,37,71,55,23
8/19/07,39,68,53,17
8/26/07,38,66,42,19
9/2/07,33,62,48,16
9/9/07,34,63,38,15
9/16/07,36,63,49,14
9/23/07,36,63,44,8
9/30/07,32,61,46,17
10/7/07,36,62,44,14
10/14/07,38,62,46,17
10/21/07,34,61,47,20
10/28/07,34,62,53,22
11/4/07,35,60,45,23
11/11/07,37,63,44,33
11/18/07,37,62,43,26
11/25/07,33,63,45,21
12/2/07,32,62,42,21
